REQ,SPARC,SW,WEAP_MGR,TLM_SVC,BOUT_SVC,CMD_SVC,HEALTH_SVC,AUTO_EXE,HW,DRIVE,PROJ
REQ-0001,,,,,,,,,,,
REQ-0002,,SW-0001,,,,,HEALTH_SVC-0001,,,,
REQ-0002,,SW-0001,,,,,HEALTH_SVC-0002,,,,
REQ-0002,,SW-0002,,TLM_SVC-0001,,,,,,,
REQ-0002,,SW-0003,,TLM_SVC-0002,,,,,,,
REQ-0002,,SW-0004,,,,,,,,,
REQ-0002,,SW-0005,,,,CMD_SVC-0001,,,,,
REQ-0002,,SW-0006,,,,,,AUTO_EXE-0001,,,
REQ-0002,,SW-0006,,,,,,AUTO_EXE-0005,,,
REQ-0002,,SW-0007,WEAP_MGR-0001,,,,,,,,
REQ-0002,,SW-0007,WEAP_MGR-0002,,,,,,,,
REQ-0002,,SW-0007,WEAP_MGR-0003,,,,,,,,
REQ-0002,,SW-0008,,,BOUT_SVC-0001,,,,,,
REQ-0002,,SW-0008,,,BOUT_SVC-0002,,,,,,
REQ-0002,,SW-0008,,,BOUT_SVC-0003,,,,,,
REQ-0002,,SW-0008,,,BOUT_SVC-0004,,,,,,
REQ-0002,,SW-0008,,,BOUT_SVC-0005,,,,,,
REQ-0003,,,,,,,,,HW-0001,,
REQ-0004,SPARC-0010,,,,,,,,,,
REQ-0004,,,,,,,,,,,PROJ-0001
REQ-0005,SPARC-0001,,,,,,,,,,
REQ-0005,SPARC-0002,,,,,,,,,,
REQ-0005,SPARC-0003,,,,,,,,,,
REQ-0005,SPARC-0004,,,,,,,,,,
REQ-0005,SPARC-0005,,,,,,,,,,
REQ-0005,SPARC-0006,,,,,,,,,,
REQ-0005,SPARC-0007,,,,,,,,,,
REQ-0005,SPARC-0008,,,,,,,,,,
REQ-0005,SPARC-0009,,,,,,,,,,
REQ-0005,SPARC-0010,,,,,,,,,,
REQ-0005,SPARC-0011,,,,,,,,,,
REQ-0005,SPARC-0012,,,,,,,,,,
REQ-0005,SPARC-0013,,,,,,,,,,
REQ-0005,SPARC-0014,,,,,,,,,,
REQ-0005,SPARC-0015,,,,,,,,,,
REQ-0005,SPARC-0016,,,,,,,,,,
REQ-0005,SPARC-0017,,,,,,,,,,
REQ-0005,SPARC-0018,,,,,,,,,,
REQ-0005,SPARC-0019,,,,,,,,,,
REQ-0005,SPARC-0020,,,,,,,,,,
REQ-0005,SPARC-0021,,,,,,,,,,
REQ-0005,SPARC-0022,,,,,,,,,,
REQ-0005,SPARC-0023,,,,,,,,,,
REQ-0005,SPARC-0024,,,,,,,,,,
